med.orarie NO2 [ug/m3] staz.** FEBBIO

aaaa mm gg hh        NO2
2014 01 31 15        5.6
2014 01 31 16        6.3
2014 01 31 17        7.2
2014 01 31 18        5.7
2014 01 31 19        5.6
2014 01 31 20        4.6
2014 01 31 21        3.9
2014 01 31 22        3.4
2014 01 31 23        2.4
2014 02 01 00        4.4
2014 02 01 01        9.1
2014 02 01 02       11.1
2014 02 01 03        8.7
2014 02 01 04    -9999.0
2014 02 01 05        4.3
2014 02 01 06        2.3
2014 02 01 07        2.3
2014 02 01 08        5.4
2014 02 01 09       10.8
2014 02 01 10        6.2
2014 02 01 11        5.9
2014 02 01 12        5.5
2014 02 01 13        7.0
2014 02 01 14        8.4
2014 02 01 15       10.7
2014 02 01 16        7.6
2014 02 01 17        8.2
2014 02 01 18       10.0
2014 02 01 19        6.7
2014 02 01 20        4.6
2014 02 01 21        5.3
2014 02 01 22        4.8
2014 02 01 23        4.6
2014 02 02 00        3.2
2014 02 02 01        3.3
2014 02 02 02        2.6
2014 02 02 03        2.3
2014 02 02 04    -9999.0
2014 02 02 05        2.8
2014 02 02 06        2.5
2014 02 02 07        3.0
2014 02 02 08        2.2
2014 02 02 09       18.1
2014 02 02 10       12.5
2014 02 02 11       10.7
2014 02 02 12        5.3
2014 02 02 13        5.4
2014 02 02 14        4.2
2014 02 02 15        4.1
2014 02 02 16        3.7
2014 02 02 17        6.8
2014 02 02 18        7.9
2014 02 02 19        8.0
2014 02 02 20        5.0
2014 02 02 21        3.8
2014 02 02 22        6.3
2014 02 02 23        7.5
2014 02 03 00        9.3
2014 02 03 01       14.3
2014 02 03 02       18.3
2014 02 03 03       18.1
2014 02 03 04    -9999.0
2014 02 03 05       15.8
2014 02 03 06       12.9
2014 02 03 07       12.9
2014 02 03 08        6.9
2014 02 03 09       10.4
2014 02 03 10        9.2
2014 02 03 11       10.4
2014 02 03 12       10.7
2014 02 03 13       10.6
2014 02 03 14       10.0
2014 02 03 15       11.1
2014 02 03 16       11.4
2014 02 03 17       12.3
2014 02 03 18       12.7
2014 02 03 19       11.7
2014 02 03 20       10.7
2014 02 03 21       15.4
2014 02 03 22        7.6
2014 02 03 23        3.9
2014 02 04 00        2.9
2014 02 04 01        2.8
2014 02 04 02        2.9
2014 02 04 03        2.9
2014 02 04 04    -9999.0
2014 02 04 05        2.2
2014 02 04 06        2.1
2014 02 04 07        2.2
2014 02 04 08        2.3
2014 02 04 09        3.4
2014 02 04 10        5.0
2014 02 04 11        3.5
2014 02 04 12        3.7
2014 02 04 13        4.4
2014 02 04 14        4.6
2014 02 04 15        5.2
2014 02 04 16        8.2
2014 02 04 17        8.0
2014 02 04 18        7.8
2014 02 04 19        5.9
2014 02 04 20        5.5
2014 02 04 21        4.8
2014 02 04 22        3.9
2014 02 04 23        3.2
2014 02 05 00        3.1
2014 02 05 01        2.6
2014 02 05 02        2.0
2014 02 05 03        2.1
2014 02 05 04    -9999.0
2014 02 05 05        1.3
2014 02 05 06        1.2
2014 02 05 07        1.3
2014 02 05 08        2.4
2014 02 05 09        1.9
2014 02 05 10        4.0
2014 02 05 11        5.8
2014 02 05 12        2.4
2014 02 05 13        1.8
2014 02 05 14        1.9
2014 02 05 15        1.9
2014 02 05 16        1.8
2014 02 05 17        2.2
2014 02 05 18        2.8
2014 02 05 19        4.0
2014 02 05 20        2.4
2014 02 05 21        1.6
2014 02 05 22        1.6
2014 02 05 23        2.2
2014 02 06 00        3.2
2014 02 06 01        7.1
2014 02 06 02        7.4
2014 02 06 03        7.0
2014 02 06 04    -9999.0
2014 02 06 05        5.4
2014 02 06 06        4.9
2014 02 06 07        4.7
2014 02 06 08        5.4
2014 02 06 09        8.2
2014 02 06 10        7.3
2014 02 06 11        4.7
2014 02 06 12        3.9
2014 02 06 13        3.3
2014 02 06 14        2.9
2014 02 06 15        3.0
2014 02 06 16        3.4
2014 02 06 17        5.5
2014 02 06 18        4.4
2014 02 06 19        4.3
2014 02 06 20        3.9
2014 02 06 21        4.4
2014 02 06 22        3.7
2014 02 06 23        4.4
2014 02 07 00        3.8
2014 02 07 01        4.9
2014 02 07 02        3.2
2014 02 07 03        2.8
2014 02 07 04    -9999.0
2014 02 07 05        2.0
2014 02 07 06        1.9
2014 02 07 07        1.7
2014 02 07 08        2.4
2014 02 07 09        2.0
2014 02 07 10        1.6
2014 02 07 11        1.4
2014 02 07 12        1.5
2014 02 07 13        2.0
2014 02 07 14        2.7
2014 02 07 15        2.9
2014 02 07 16        3.6
2014 02 07 17        4.1
2014 02 07 18        4.0
2014 02 07 19        2.7
2014 02 07 20        2.3
2014 02 07 21       11.0
2014 02 07 22       11.4
2014 02 07 23        5.5
2014 02 08 00        1.8
2014 02 08 01        1.8
2014 02 08 02        2.5
2014 02 08 03        2.0
2014 02 08 04    -9999.0
2014 02 08 05        1.3
2014 02 08 06        1.7
2014 02 08 07        2.0
2014 02 08 08        2.9
2014 02 08 09        1.5
2014 02 08 10        1.5
2014 02 08 11        2.1
2014 02 08 12        1.4
2014 02 08 13        1.5
2014 02 08 14        1.5
2014 02 08 15        1.5
2014 02 08 16        1.5
2014 02 08 17        2.9
2014 02 08 18        1.7
2014 02 08 19        1.6
2014 02 08 20        1.8
2014 02 08 21        2.0
2014 02 08 22        1.6
2014 02 08 23        1.3
2014 02 09 00        1.2
2014 02 09 01        1.2
2014 02 09 02        1.3
2014 02 09 03        1.1
2014 02 09 04    -9999.0
2014 02 09 05        6.0
2014 02 09 06       10.1
2014 02 09 07        1.8
2014 02 09 08        1.5
2014 02 09 09        3.0
2014 02 09 10        3.1
2014 02 09 11        2.6
2014 02 09 12        1.7
2014 02 09 13        2.0
2014 02 09 14        2.2
2014 02 09 15        2.2
2014 02 09 16        2.1
2014 02 09 17        1.9
2014 02 09 18        1.7
2014 02 09 19        2.0
2014 02 09 20        1.5
2014 02 09 21        1.2
2014 02 09 22        1.3
2014 02 09 23        0.8
2014 02 10 00        0.8
2014 02 10 01        1.2
2014 02 10 02        1.2
2014 02 10 03        1.1
2014 02 10 04    -9999.0
2014 02 10 05        1.1
2014 02 10 06        1.2
2014 02 10 07        1.3
2014 02 10 08        1.7
2014 02 10 09        2.4
2014 02 10 10        2.0
2014 02 10 11        2.6
2014 02 10 12        2.8
2014 02 10 13        3.0
2014 02 10 14        3.8
2014 02 10 15        4.5
2014 02 10 16        5.5
2014 02 10 17        7.5
2014 02 10 18        3.6
2014 02 10 19        2.4
2014 02 10 20        1.4
2014 02 10 21        1.9
