med.orarie NO2 [ug/m3] staz.** BALLIRANA

aaaa mm gg hh        NO2
2014 02 06 05        5.0
2014 02 06 06        6.0
2014 02 06 07        8.0
2014 02 06 08       10.0
2014 02 06 09       11.0
2014 02 06 10        8.0
2014 02 06 11       10.0
2014 02 06 12       10.0
2014 02 06 13       12.0
2014 02 06 14       13.0
2014 02 06 15       11.0
2014 02 06 16       11.0
2014 02 06 17       12.0
2014 02 06 18       18.0
2014 02 06 19       16.0
2014 02 06 20       24.0
2014 02 06 21       32.0
2014 02 06 22       32.0
2014 02 06 23       34.0
2014 02 07 00       40.0
2014 02 07 01       41.0
2014 02 07 02       36.0
2014 02 07 03       27.0
2014 02 07 04       23.0
2014 02 07 05       20.0
2014 02 07 06       22.0
2014 02 07 07       21.0
2014 02 07 08       17.0
2014 02 07 09       22.0
2014 02 07 10    -9999.0
2014 02 07 11       30.0
2014 02 07 12       25.0
2014 02 07 13       21.0
2014 02 07 14       21.0
2014 02 07 15       16.0
2014 02 07 16       15.0
2014 02 07 17       17.0
2014 02 07 18       20.0
2014 02 07 19       15.0
2014 02 07 20       14.0
2014 02 07 21        5.0
2014 02 07 22        6.0
2014 02 07 23       43.0
2014 02 08 00       45.0
2014 02 08 01       39.0
2014 02 08 02       31.0
2014 02 08 03       42.0
2014 02 08 04       40.0
2014 02 08 05       35.0
2014 02 08 06       30.0
2014 02 08 07       33.0
2014 02 08 08       31.0
2014 02 08 09       29.0
2014 02 08 10       24.0
2014 02 08 11       16.0
2014 02 08 12       15.0
2014 02 08 13       13.0
2014 02 08 14       11.0
2014 02 08 15       11.0
2014 02 08 16       12.0
2014 02 08 17       14.0
2014 02 08 18       12.0
2014 02 08 19       23.0
2014 02 08 20       11.0
2014 02 08 21       21.0
2014 02 08 22       24.0
2014 02 08 23       10.0
2014 02 09 00        8.0
2014 02 09 01        5.0
2014 02 09 02        5.0
2014 02 09 03        7.0
2014 02 09 04        6.0
2014 02 09 05        3.0
2014 02 09 06        2.0
2014 02 09 07        8.0
2014 02 09 08       18.0
2014 02 09 09       21.0
2014 02 09 10       17.0
2014 02 09 11       11.0
2014 02 09 12       13.0
2014 02 09 13       15.0
2014 02 09 14       14.0
2014 02 09 15       10.0
2014 02 09 16       10.0
2014 02 09 17       10.0
2014 02 09 18       13.0
2014 02 09 19       17.0
2014 02 09 20       19.0
2014 02 09 21       13.0
2014 02 09 22        9.0
2014 02 09 23        9.0
2014 02 10 00        9.0
2014 02 10 01       12.0
2014 02 10 02       15.0
2014 02 10 03       12.0
2014 02 10 04        7.0
2014 02 10 05        5.0
2014 02 10 06        5.0
2014 02 10 07        9.0
2014 02 10 08       15.0
2014 02 10 09       20.0
2014 02 10 10       16.0
2014 02 10 11        9.0
2014 02 10 12        8.0
2014 02 10 13       10.0
2014 02 10 14       12.0
2014 02 10 15       13.0
2014 02 10 16        6.0
2014 02 10 17       12.0
2014 02 10 18       14.0
2014 02 10 19       17.0
2014 02 10 20       16.0
2014 02 10 21       18.0
2014 02 10 22       17.0
2014 02 10 23       11.0
2014 02 11 00       11.0
2014 02 11 01       15.0
2014 02 11 02       16.0
2014 02 11 03       11.0
2014 02 11 04        8.0
2014 02 11 05        7.0
2014 02 11 06        7.0
2014 02 11 07        8.0
2014 02 11 08       10.0
2014 02 11 09       10.0
2014 02 11 10       11.0
2014 02 11 11       13.0
2014 02 11 12       13.0
2014 02 11 13       14.0
2014 02 11 14       14.0
2014 02 11 15       12.0
2014 02 11 16       10.0
2014 02 11 17       10.0
2014 02 11 18       11.0
2014 02 11 19       12.0
2014 02 11 20       14.0
2014 02 11 21       17.0
2014 02 11 22       14.0
2014 02 11 23       13.0
2014 02 12 00       14.0
2014 02 12 01       19.0
2014 02 12 02       30.0
2014 02 12 03       32.0
2014 02 12 04       31.0
2014 02 12 05       27.0
2014 02 12 06       20.0
2014 02 12 07       19.0
2014 02 12 08       15.0
2014 02 12 09       13.0
2014 02 12 10       10.0
2014 02 12 11       10.0
2014 02 12 12       10.0
2014 02 12 13        6.0
2014 02 12 14       10.0
2014 02 12 15       13.0
2014 02 12 16       15.0
2014 02 12 17       15.0
2014 02 12 18       16.0
2014 02 12 19       20.0
2014 02 12 20       29.0
2014 02 12 21       27.0
2014 02 12 22       34.0
2014 02 12 23       40.0
2014 02 13 00       37.0
2014 02 13 01       33.0
2014 02 13 02       33.0
2014 02 13 03       28.0
2014 02 13 04       24.0
2014 02 13 05       21.0
2014 02 13 06       21.0
2014 02 13 07       20.0
2014 02 13 08       20.0
2014 02 13 09       17.0
2014 02 13 10       18.0
2014 02 13 11       21.0
2014 02 13 12       17.0
2014 02 13 13       13.0
2014 02 13 14       14.0
2014 02 13 15        7.0
2014 02 13 16        9.0
2014 02 13 17       11.0
2014 02 13 18        9.0
2014 02 13 19       12.0
2014 02 13 20       23.0
2014 02 13 21       24.0
2014 02 13 22       14.0
2014 02 13 23        5.0
2014 02 14 00        5.0
2014 02 14 01       14.0
2014 02 14 02       36.0
