med.orarie NO2 [ug/m3] staz.** PARCO RESISTENZA

aaaa mm gg hh        NO2
2014 01 31 11       29.0
2014 01 31 12       28.0
2014 01 31 13       27.0
2014 01 31 14       27.0
2014 01 31 15       27.0
2014 01 31 16       26.0
2014 01 31 17       28.0
2014 01 31 18       30.0
2014 01 31 19       30.0
2014 01 31 20       31.0
2014 01 31 21       32.0
2014 01 31 22       32.0
2014 01 31 23       32.0
2014 02 01 00       24.0
2014 02 01 01       20.0
2014 02 01 02       19.0
2014 02 01 03       18.0
2014 02 01 04    -9999.0
2014 02 01 05       15.0
2014 02 01 06       16.0
2014 02 01 07       22.0
2014 02 01 08       24.0
2014 02 01 09       28.0
2014 02 01 10       25.0
2014 02 01 11       22.0
2014 02 01 12       21.0
2014 02 01 13       21.0
2014 02 01 14       22.0
2014 02 01 15       24.0
2014 02 01 16       23.0
2014 02 01 17       24.0
2014 02 01 18       27.0
2014 02 01 19       29.0
2014 02 01 20       28.0
2014 02 01 21       29.0
2014 02 01 22       28.0
2014 02 01 23       26.0
2014 02 02 00       25.0
2014 02 02 01       24.0
2014 02 02 02       20.0
2014 02 02 03       16.0
2014 02 02 04    -9999.0
2014 02 02 05       13.0
2014 02 02 06       17.0
2014 02 02 07       19.0
2014 02 02 08       22.0
2014 02 02 09       22.0
2014 02 02 10       22.0
2014 02 02 11       22.0
2014 02 02 12       21.0
2014 02 02 13       20.0
2014 02 02 14       19.0
2014 02 02 15       19.0
2014 02 02 16       21.0
2014 02 02 17       22.0
2014 02 02 18       22.0
2014 02 02 19       23.0
2014 02 02 20       23.0
2014 02 02 21       23.0
2014 02 02 22       21.0
2014 02 02 23       20.0
2014 02 03 00       19.0
2014 02 03 01       18.0
2014 02 03 02       18.0
2014 02 03 03       18.0
2014 02 03 04    -9999.0
2014 02 03 05       19.0
2014 02 03 06       20.0
2014 02 03 07       21.0
2014 02 03 08       22.0
2014 02 03 09       23.0
2014 02 03 10       17.0
2014 02 03 11       16.0
2014 02 03 12       14.0
2014 02 03 13       13.0
2014 02 03 14       14.0
2014 02 03 15       16.0
2014 02 03 16       19.0
2014 02 03 17       21.0
2014 02 03 18       25.0
2014 02 03 19       31.0
2014 02 03 20       30.0
2014 02 03 21       28.0
2014 02 03 22       28.0
2014 02 03 23       26.0
2014 02 04 00       21.0
2014 02 04 01       17.0
2014 02 04 02       16.0
2014 02 04 03       16.0
2014 02 04 04    -9999.0
2014 02 04 05       22.0
2014 02 04 06       22.0
2014 02 04 07       22.0
2014 02 04 08       22.0
2014 02 04 09       21.0
2014 02 04 10       24.0
2014 02 04 11       22.0
2014 02 04 12       22.0
2014 02 04 13       24.0
2014 02 04 14       25.0
2014 02 04 15       25.0
2014 02 04 16       25.0
2014 02 04 17       28.0
2014 02 04 18       32.0
2014 02 04 19       33.0
2014 02 04 20       33.0
2014 02 04 21       33.0
2014 02 04 22       33.0
2014 02 04 23       33.0
2014 02 05 00       31.0
2014 02 05 01       29.0
2014 02 05 02       27.0
2014 02 05 03       24.0
2014 02 05 04    -9999.0
2014 02 05 05       24.0
2014 02 05 06       22.0
2014 02 05 07       19.0
2014 02 05 08       18.0
2014 02 05 09       20.0
2014 02 05 10       20.0
2014 02 05 11       21.0
2014 02 05 12       29.0
2014 02 05 13       32.0
2014 02 05 14       25.0
2014 02 05 15       20.0
2014 02 05 16       19.0
2014 02 05 17       29.0
2014 02 05 18       39.0
2014 02 05 19       38.0
2014 02 05 20       35.0
2014 02 05 21       25.0
2014 02 05 22       23.0
2014 02 05 23       18.0
2014 02 06 00       16.0
2014 02 06 01       13.0
2014 02 06 02        7.0
2014 02 06 03        8.0
2014 02 06 04    -9999.0
2014 02 06 05        9.0
2014 02 06 06       14.0
2014 02 06 07       18.0
2014 02 06 08       23.0
2014 02 06 09       19.0
2014 02 06 10       17.0
2014 02 06 11       16.0
2014 02 06 12       19.0
2014 02 06 13       20.0
2014 02 06 14       21.0
2014 02 06 15       19.0
2014 02 06 16       15.0
2014 02 06 17       17.0
2014 02 06 18       30.0
2014 02 06 19    -9999.0
2014 02 06 20    -9999.0
2014 02 06 21    -9999.0
2014 02 06 22       24.0
2014 02 06 23       20.0
2014 02 07 00       19.0
2014 02 07 01       15.0
2014 02 07 02       13.0
2014 02 07 03       13.0
2014 02 07 04    -9999.0
2014 02 07 05       13.0
2014 02 07 06       19.0
2014 02 07 07       23.0
2014 02 07 08       27.0
2014 02 07 09       30.0
2014 02 07 10       28.0
2014 02 07 11       27.0
2014 02 07 12       23.0
2014 02 07 13       23.0
2014 02 07 14       13.0
2014 02 07 15       13.0
2014 02 07 16       13.0
2014 02 07 17       18.0
2014 02 07 18       30.0
2014 02 07 19       20.0
2014 02 07 20       14.0
2014 02 07 21        9.0
2014 02 07 22       10.0
2014 02 07 23        9.0
2014 02 08 00       17.0
2014 02 08 01       30.0
2014 02 08 02       27.0
2014 02 08 03       25.0
2014 02 08 04    -9999.0
2014 02 08 05       30.0
2014 02 08 06       28.0
2014 02 08 07       26.0
2014 02 08 08       26.0
2014 02 08 09       26.0
2014 02 08 10       24.0
2014 02 08 11       21.0
2014 02 08 12       18.0
2014 02 08 13       19.0
2014 02 08 14       19.0
2014 02 08 15       13.0
2014 02 08 16       18.0
2014 02 08 17       25.0
2014 02 08 18       32.0
2014 02 08 19       37.0
2014 02 08 20       41.0
2014 02 08 21       22.0
2014 02 08 22       14.0
2014 02 08 23       16.0
2014 02 09 00       12.0
2014 02 09 01        8.0
2014 02 09 02        6.0
2014 02 09 03        4.0
2014 02 09 04    -9999.0
2014 02 09 05        4.0
2014 02 09 06        4.0
2014 02 09 07        6.0
2014 02 09 08       11.0
2014 02 09 09       17.0
2014 02 09 10       18.0
2014 02 09 11       15.0
2014 02 09 12       15.0
2014 02 09 13       15.0
2014 02 09 14       13.0
2014 02 09 15       13.0
2014 02 09 16       16.0
2014 02 09 17       23.0
2014 02 09 18       14.0
2014 02 09 19       12.0
2014 02 09 20       12.0
2014 02 09 21       13.0
2014 02 09 22        8.0
2014 02 09 23       12.0
2014 02 10 00       10.0
2014 02 10 01       14.0
2014 02 10 02       10.0
2014 02 10 03        8.0
2014 02 10 04    -9999.0
2014 02 10 05        7.0
2014 02 10 06       12.0
2014 02 10 07       17.0
2014 02 10 08       32.0
2014 02 10 09       32.0
2014 02 10 10       26.0
2014 02 10 11       26.0
2014 02 10 12       11.0
2014 02 10 13       11.0
2014 02 10 14       10.0
2014 02 10 15       12.0
2014 02 10 16       15.0
2014 02 10 17       23.0
2014 02 10 18       33.0
2014 02 10 19       36.0
2014 02 10 20       40.0
2014 02 10 21       33.0
2014 02 10 22       26.0
2014 02 10 23       21.0
2014 02 11 00       24.0
2014 02 11 01       21.0
2014 02 11 02       26.0
2014 02 11 03       20.0
2014 02 11 04    -9999.0
2014 02 11 05       13.0
2014 02 11 06       11.0
2014 02 11 07       14.0
2014 02 11 08       24.0
2014 02 11 09       28.0
2014 02 11 10       27.0
2014 02 11 11       24.0
2014 02 11 12       19.0
2014 02 11 13       27.0
2014 02 11 14       23.0
2014 02 11 15       21.0
2014 02 11 16       41.0
2014 02 11 17       29.0
2014 02 11 18       30.0
2014 02 11 19       29.0
2014 02 11 20       28.0
2014 02 11 21       29.0
2014 02 11 22       24.0
2014 02 11 23       20.0
2014 02 12 00       17.0
2014 02 12 01       14.0
2014 02 12 02       14.0
2014 02 12 03       12.0
2014 02 12 04    -9999.0
2014 02 12 05        7.0
2014 02 12 06        7.0
2014 02 12 07       16.0
2014 02 12 08       30.0
2014 02 12 09       43.0
2014 02 12 10       24.0
2014 02 12 11        9.0
2014 02 12 12        8.0
2014 02 12 13        7.0
2014 02 12 14       10.0
2014 02 12 15       11.0
2014 02 12 16       18.0
2014 02 12 17       20.0
2014 02 12 18       26.0
2014 02 12 19       42.0
2014 02 12 20       41.0
2014 02 12 21       33.0
2014 02 12 22       29.0
2014 02 12 23       22.0
2014 02 13 00       21.0
2014 02 13 01       15.0
2014 02 13 02       12.0
2014 02 13 03       11.0
2014 02 13 04    -9999.0
2014 02 13 05       12.0
2014 02 13 06       15.0
2014 02 13 07       25.0
2014 02 13 08       28.0
2014 02 13 09       49.0
2014 02 13 10       34.0
2014 02 13 11       33.0
2014 02 13 12       18.0
2014 02 13 13        9.0
2014 02 13 14       11.0
2014 02 13 15       16.0
2014 02 13 16       23.0
2014 02 13 17       19.0
2014 02 13 18       37.0
2014 02 13 19       54.0
