med.orarie NO2 [ug/m3] staz.** S. LAZZARO

aaaa mm gg hh        NO2
2014 01 31 14       35.5
2014 01 31 15       38.5
2014 01 31 16       38.8
2014 01 31 17       41.0
2014 01 31 18       41.3
2014 01 31 19       42.5
2014 01 31 20       41.6
2014 01 31 21       40.5
2014 01 31 22       38.5
2014 01 31 23       32.3
2014 02 01 00       22.7
2014 02 01 01       17.2
2014 02 01 02       16.9
2014 02 01 03       16.9
2014 02 01 04       17.0
2014 02 01 05       18.7
2014 02 01 06       19.9
2014 02 01 07       21.3
2014 02 01 08       25.0
2014 02 01 09       31.2
2014 02 01 10       31.9
2014 02 01 11       25.4
2014 02 01 12       25.0
2014 02 01 13       23.4
2014 02 01 14       25.0
2014 02 01 15       29.7
2014 02 01 16       30.1
2014 02 01 17       27.5
2014 02 01 18       27.4
2014 02 01 19       28.7
2014 02 01 20       30.7
2014 02 01 21       31.3
2014 02 01 22       31.3
2014 02 01 23       30.5
2014 02 02 00       30.6
2014 02 02 01       29.8
2014 02 02 02       31.1
2014 02 02 03       29.9
2014 02 02 04       27.6
2014 02 02 05       28.9
2014 02 02 06       30.6
2014 02 02 07       26.9
2014 02 02 08       22.7
2014 02 02 09       22.9
2014 02 02 10       24.3
2014 02 02 11       23.8
2014 02 02 12       24.0
2014 02 02 13       21.4
2014 02 02 14       22.0
2014 02 02 15       23.9
2014 02 02 16       25.9
2014 02 02 17       28.0
2014 02 02 18       32.3
2014 02 02 19       32.6
2014 02 02 20       30.6
2014 02 02 21       28.7
2014 02 02 22       26.9
2014 02 02 23       30.3
2014 02 03 00       31.5
2014 02 03 01       31.4
2014 02 03 02       32.5
2014 02 03 03       24.2
2014 02 03 04       17.7
2014 02 03 05       13.7
2014 02 03 06       16.1
2014 02 03 07       19.3
2014 02 03 08       19.3
2014 02 03 09       20.4
2014 02 03 10       20.8
2014 02 03 11       20.0
2014 02 03 12       24.9
2014 02 03 13       25.0
2014 02 03 14       21.0
2014 02 03 15       21.6
2014 02 03 16       20.2
2014 02 03 17       22.1
2014 02 03 18       28.2
2014 02 03 19       32.5
2014 02 03 20       28.2
2014 02 03 21       28.5
2014 02 03 22       23.1
2014 02 03 23       19.3
2014 02 04 00       17.5
2014 02 04 01       19.2
2014 02 04 02       18.0
2014 02 04 03       18.9
2014 02 04 04       17.1
2014 02 04 05       16.1
2014 02 04 06       15.9
2014 02 04 07       15.9
2014 02 04 08       17.5
2014 02 04 09       21.9
2014 02 04 10       25.8
2014 02 04 11       15.6
2014 02 04 12       15.4
2014 02 04 13       27.7
2014 02 04 14       26.1
2014 02 04 15       26.2
2014 02 04 16       27.2
2014 02 04 17       29.4
2014 02 04 18       29.0
2014 02 04 19       30.0
2014 02 04 20       33.5
2014 02 04 21       32.6
2014 02 04 22       34.1
2014 02 04 23       35.9
2014 02 05 00       33.4
2014 02 05 01       34.2
2014 02 05 02       30.6
2014 02 05 03       29.0
2014 02 05 04       29.1
2014 02 05 05       30.2
2014 02 05 06       34.2
2014 02 05 07       39.6
2014 02 05 08       40.0
2014 02 05 09       38.9
2014 02 05 10       36.0
2014 02 05 11       35.1
2014 02 05 12       35.8
2014 02 05 13       37.8
2014 02 05 14       42.0
2014 02 05 15       42.9
2014 02 05 16       40.2
2014 02 05 17       36.1
2014 02 05 18       37.9
2014 02 05 19       37.5
2014 02 05 20       36.6
2014 02 05 21       35.7
2014 02 05 22       28.8
2014 02 05 23       25.2
2014 02 06 00       20.8
2014 02 06 01       24.8
2014 02 06 02       24.9
2014 02 06 03       20.9
2014 02 06 04       19.6
2014 02 06 05       18.7
2014 02 06 06       18.1
2014 02 06 07       25.4
2014 02 06 08       25.4
2014 02 06 09       38.1
2014 02 06 10       44.7
2014 02 06 11       42.6
2014 02 06 12       34.0
2014 02 06 13       21.1
2014 02 06 14       16.0
2014 02 06 15    -9999.0
2014 02 06 16    -9999.0
2014 02 06 17    -9999.0
2014 02 06 18    -9999.0
2014 02 06 19    -9999.0
2014 02 06 20    -9999.0
2014 02 06 21    -9999.0
2014 02 06 22    -9999.0
2014 02 06 23    -9999.0
2014 02 07 00    -9999.0
2014 02 07 01    -9999.0
2014 02 07 02    -9999.0
2014 02 07 03    -9999.0
2014 02 07 04    -9999.0
2014 02 07 05    -9999.0
2014 02 07 06    -9999.0
2014 02 07 07    -9999.0
2014 02 07 08    -9999.0
2014 02 07 09    -9999.0
2014 02 07 10    -9999.0
2014 02 07 11    -9999.0
2014 02 07 12       41.1
2014 02 07 13       38.2
2014 02 07 14       31.9
2014 02 07 15       29.8
2014 02 07 16       36.0
2014 02 07 17       37.6
2014 02 07 18       36.9
2014 02 07 19       35.8
2014 02 07 20       42.8
2014 02 07 21       40.2
2014 02 07 22       41.0
2014 02 07 23       42.8
2014 02 08 00       42.3
2014 02 08 01       41.1
2014 02 08 02       37.3
2014 02 08 03       33.2
2014 02 08 04       29.6
2014 02 08 05       27.2
2014 02 08 06       28.3
2014 02 08 07       26.6
2014 02 08 08       25.0
2014 02 08 09       30.2
2014 02 08 10       25.7
2014 02 08 11       22.4
2014 02 08 12       18.0
2014 02 08 13       16.3
2014 02 08 14       16.8
2014 02 08 15       26.4
2014 02 08 16       24.8
2014 02 08 17       28.8
2014 02 08 18       29.4
2014 02 08 19       27.9
2014 02 08 20       32.7
2014 02 08 21       41.0
2014 02 08 22       34.1
2014 02 08 23       32.1
