med.orarie NO2 [ug/m3] staz.** OSTELLATO

aaaa mm gg hh        NO2
2014 02 06 08       14.0
2014 02 06 09       15.0
2014 02 06 10       11.0
2014 02 06 11       14.0
2014 02 06 12       10.0
2014 02 06 13       15.0
2014 02 06 14       16.0
2014 02 06 15       12.0
2014 02 06 16       10.0
2014 02 06 17       10.0
2014 02 06 18       13.0
2014 02 06 19       13.0
2014 02 06 20       17.0
2014 02 06 21       21.0
2014 02 06 22       23.0
2014 02 06 23       23.0
2014 02 07 00       21.0
2014 02 07 01       24.0
2014 02 07 02       28.0
2014 02 07 03    -9999.0
2014 02 07 04       27.0
2014 02 07 05       23.0
2014 02 07 06       23.0
2014 02 07 07       25.0
2014 02 07 08       29.0
2014 02 07 09       29.0
2014 02 07 10       29.0
2014 02 07 11       29.0
2014 02 07 12       23.0
2014 02 07 13       29.0
2014 02 07 14       16.0
2014 02 07 15       11.0
2014 02 07 16        9.0
2014 02 07 17       12.0
2014 02 07 18       14.0
2014 02 07 19       11.0
2014 02 07 20       13.0
2014 02 07 21       15.0
2014 02 07 22       12.0
2014 02 07 23       36.0
2014 02 08 00       40.0
2014 02 08 01       35.0
2014 02 08 02       23.0
2014 02 08 03    -9999.0
2014 02 08 04       35.0
2014 02 08 05       33.0
2014 02 08 06       32.0
2014 02 08 07       33.0
2014 02 08 08       32.0
2014 02 08 09       26.0
2014 02 08 10       21.0
2014 02 08 11       20.0
2014 02 08 12       17.0
2014 02 08 13       14.0
2014 02 08 14       12.0
2014 02 08 15       10.0
2014 02 08 16       12.0
2014 02 08 17       15.0
2014 02 08 18       23.0
2014 02 08 19       28.0
2014 02 08 20       22.0
2014 02 08 21       16.0
2014 02 08 22       24.0
2014 02 08 23       20.0
2014 02 09 00       12.0
2014 02 09 01        7.0
2014 02 09 02        9.0
2014 02 09 03    -9999.0
2014 02 09 04        9.0
2014 02 09 05        6.0
2014 02 09 06        4.0
2014 02 09 07       10.0
2014 02 09 08       17.0
2014 02 09 09       16.0
2014 02 09 10        9.0
2014 02 09 11       14.0
2014 02 09 12       16.0
2014 02 09 13       16.0
2014 02 09 14       13.0
2014 02 09 15       11.0
2014 02 09 16       11.0
2014 02 09 17       11.0
2014 02 09 18       11.0
2014 02 09 19       10.0
2014 02 09 20       18.0
2014 02 09 21       21.0
2014 02 09 22       17.0
2014 02 09 23       13.0
2014 02 10 00       12.0
2014 02 10 01       11.0
2014 02 10 02       10.0
2014 02 10 03    -9999.0
2014 02 10 04       11.0
2014 02 10 05       17.0
2014 02 10 06       16.0
2014 02 10 07       17.0
2014 02 10 08       21.0
2014 02 10 09       28.0
2014 02 10 10       20.0
2014 02 10 11        6.0
2014 02 10 12        9.0
2014 02 10 13       11.0
2014 02 10 14        8.0
2014 02 10 15       10.0
2014 02 10 16        9.0
2014 02 10 17        8.0
2014 02 10 18       11.0
2014 02 10 19       18.0
2014 02 10 20       27.0
2014 02 10 21       16.0
2014 02 10 22       14.0
2014 02 10 23       11.0
2014 02 11 00       12.0
2014 02 11 01       13.0
2014 02 11 02       13.0
2014 02 11 03    -9999.0
2014 02 11 04       11.0
2014 02 11 05       12.0
2014 02 11 06       17.0
2014 02 11 07       16.0
2014 02 11 08       16.0
2014 02 11 09       15.0
2014 02 11 10       16.0
2014 02 11 11       16.0
2014 02 11 12       17.0
2014 02 11 13       16.0
2014 02 11 14       14.0
2014 02 11 15       12.0
2014 02 11 16       14.0
2014 02 11 17       17.0
2014 02 11 18       28.0
2014 02 11 19       32.0
2014 02 11 20       33.0
2014 02 11 21       25.0
2014 02 11 22       22.0
2014 02 11 23       25.0
2014 02 12 00       23.0
2014 02 12 01       19.0
2014 02 12 02       20.0
2014 02 12 03    -9999.0
2014 02 12 04       21.0
2014 02 12 05       24.0
2014 02 12 06       25.0
2014 02 12 07       27.0
2014 02 12 08       24.0
2014 02 12 09       19.0
2014 02 12 10       18.0
2014 02 12 11       13.0
2014 02 12 12       10.0
2014 02 12 13       13.0
2014 02 12 14       16.0
2014 02 12 15       17.0
2014 02 12 16       19.0
2014 02 12 17       20.0
2014 02 12 18       23.0
2014 02 12 19       21.0
2014 02 12 20       17.0
2014 02 12 21       16.0
2014 02 12 22       22.0
2014 02 12 23       26.0
2014 02 13 00       31.0
2014 02 13 01       33.0
2014 02 13 02       34.0
2014 02 13 03    -9999.0
2014 02 13 04       33.0
2014 02 13 05       31.0
2014 02 13 06       29.0
2014 02 13 07       25.0
2014 02 13 08       21.0
2014 02 13 09       18.0
2014 02 13 10       27.0
2014 02 13 11       31.0
2014 02 13 12       27.0
2014 02 13 13       26.0
2014 02 13 14       27.0
2014 02 13 15       32.0
2014 02 13 16       25.0
2014 02 13 17       17.0
2014 02 13 18       16.0
2014 02 13 19       12.0
2014 02 13 20       12.0
